fips,state,county,rate_mort_period1,rate_vaccination
5043,Arkansas,Drew,0.046109510086455335,0.45556195965417867
5045,Arkansas,Faulkner,0.055061620431100106,0.4460477092746441
5047,Arkansas,Franklin,0.12282856641516056,0.46277124641750017
5051,Arkansas,Garland,0.12976642044320225,0.4075464164503893
5053,Arkansas,Grant,0.055685488361732934,0.4202026951776367
5055,Arkansas,Greene,0.09183138009445514,0.38556060871086234
5057,Arkansas,Hempstead,0.044854223772738594,0.3635684026912534
5059,Arkansas,Hot Spring,0.14527845036319612,0.39842615012106536
5063,Arkansas,Independence,0.20296272866255471,0.35753070799725867
5067,Arkansas,Jackson,0.07758877946881527,0.3428827215756491
5069,Arkansas,Jefferson,0.17989889979185253,0.37774308652988403
5071,Arkansas,Johnson,0.05437104353567129,0.4577265136510156
5075,Arkansas,Lawrence,0.2035027133695116,0.4182289097187962
5083,Arkansas,Logan,0.03785906961336425,0.42771283895698264
5085,Arkansas,Lonoke,0.0891711139633858,0.4250759981084915
5087,Arkansas,Madison,0.05447612130016343,0.38889897705950005
5089,Arkansas,Marion,0.04754546535124213,0.3211101866159515
5091,Arkansas,Miller,0.056338028169014086,0.2763849765258216
5093,Arkansas,Mississippi,0.21629593216173038,0.3614108393756913
5103,Arkansas,Ouachita,0.07505518763796909,0.5034878587196469
5107,Arkansas,Phillips,0.10260743602124578,0.47682279092225976
5111,Arkansas,Poinsett,0.22207707380796862,0.4075767472240366
5113,Arkansas,Polk,0.09885021590968213,0.32443681390146195
5115,Arkansas,Pope,0.07731023492844859,0.45467884697306765
5119,Arkansas,Pulaski,0.08067647979956154,0.5027948637644848
5121,Arkansas,Randolph,0.19385062732216896,0.3452695062193743
5123,Arkansas,St. Francis,0.0779558250324816,0.48505846686877435
5125,Arkansas,Saline,0.06320088157127114,0.4377309262980489
5131,Arkansas,Sebastian,0.10485215064280629,0.440003442906439
5133,Arkansas,Sevier,0.12627059789128103,0.43386577435444157
5135,Arkansas,Sharp,0.15054136992646633,0.3533090151120375
5139,Arkansas,Union,0.16387565934347315,0.42310646796742973
5141,Arkansas,Van Buren,0.03798429982273994,0.4089009875917954
5143,Arkansas,Washington,0.08053003404224165,0.4710396915455666
5145,Arkansas,White,0.08330946864179532,0.41570123141808335
5149,Arkansas,Yell,0.17766372205497705,0.4633075062922568
6001,California,Alameda,0.03245454431977118,0.7076749053260523
6005,California,Amador,0.04694371695409398,0.48416267233285565
6007,California,Butte,0.031658728358660314,0.4911591819762607
6009,California,Calaveras,0.04857369954958933,0.5654420206659012
6011,California,Colusa,0.036631713906314395,0.510050826503045
6013,California,Contra Costa,0.023929456990017386,0.7089500457575817
6015,California,Del Norte,0.0036045128500883103,0.3750856071801896
6017,California,El Dorado,0.004184428694719774,0.5687057038993645
6019,California,Fresno,0.05373497750467454,0.5165487867990411
6021,California,Glenn,0.04149808071376699,0.469931182349483
6023,California,Humboldt,0.008793592402336164,0.5799300909404014
6025,California,Imperial,0.20867881270102726,0.7039654539181533
6027,California,Inyo,0.08939840134623475,0
6029,California,Kern,0.051581824280851486,0.44191985570287107
6031,California,Kings,0.06557979093162651,0.3902587778550162
6033,California,Lake,0.03227557472529084,0.5006088347050452
6035,California,Lassen,0.01833180568285976,0.3085242896425298
6037,California,Los Angeles,0.08333325843825384,0.621193969368312
6039,California,Madera,0.06847780871012128,0.4589613132379764
6041,California,Marin,0.05108245241517073,0.7721227046252492
6043,California,Mariposa,0.023349483392679934,0
6045,California,Mendocino,0.026200587329832645,0.5696335192847239
6047,California,Merced,0.07361256321078798,0.42997916088790267
6053,California,Monterey,0.03598801917842541,0.5972735658888243
6055,California,Napa,0.016664372296567864,0.6789355088792123
6057,California,Nevada,0.02934243600903747,0.5541808080906877
6059,California,Orange,0.05315361929394799,0.6304863305144762
6061,California,Placer,0.02297777085973924,0.5848485073096489
6065,California,Riverside,0.06558637986754529,0.5205954052316096
6067,California,Sacramento,0.04346852317427471,0.5716811088574214
6069,California,San Benito,0.03270569546325281,0.5460137986886574
6071,California,San Bernardino,0.056883447146064414,0.4933587085761537
6073,California,San Diego,0.03522670293218344,0.5262808786909976
6075,California,San Francisco,0.019108316694604475,0.7555176694718896
6077,California,San Joaquin,0.06865725655869297,0.5184495523161878
6079,California,San Luis Obispo,0.016287567628813414,0.5371568988471235
6081,California,San Mateo,0.02341577255043548,0.7339157189165431
6083,California,Santa Barbara,0.031234034388671863,0.615640665820373
6085,California,Santa Clara,0.027372371154891984,0.7537865543814128
6087,California,Santa Cruz,0.020305618010713983,0.7035158254602915
6089,California,Shasta,0.03238999752957646,0.4322253026268837
6093,California,Siskiyou,0.018150467374534896,0.4759506307287413
6095,California,Solano,0.02006655038357983,0.5709859732607704
6097,California,Sonoma,0.033547231023824675,0.6945340514622707
6099,California,Stanislaus,0.0864566866469637,0.5001718281429176
6101,California,Sutter,0.037136290184978875,0.5031164373249827
6103,California,Tehama,0.04557261996992207,0.35684880523781315
6105,California,Trinity,0.006206554121151936,0
6107,California,Tulare,0.06975018864255564,0.439739007475952
6109,California,Tuolumne,0.03416037396619921,0.5231211794318591
6111,California,Ventura,0.02358258586016593,0.6348337309191402
6113,California,Yolo,0.04112697143754939,0.6190117512234119
6115,California,Yuba,0.01593625498007968,0.42905301869445295
8001,Colorado,Adams,0.08353029031587537,0.5916427367140646
8003,Colorado,Alamosa,0.1282364435759648,0.4946873473375672
8005,Colorado,Arapahoe,0.07907551864686217,0.5972766269253668
8013,Colorado,Boulder,0.04655972039980893,0.6898578416848572
8014,Colorado,Broomfield,0.07691062176165803,0.6843830958549223
8015,Colorado,Chaffee,0.11295953994660095,0.6109570753748202
8029,Colorado,Delta,0.054494165918707524,0.42986280292345175
8031,Colorado,Denver,0.08706930045477287,0.683003457615559
8035,Colorado,Douglas,0.04078462922302488,0.6367514204783534
8037,Colorado,Eagle,0.021532001937880175,0.7232420017584468
8039,Colorado,Elbert,0.019185020336121555,0.34295142352850894
8041,Colorado,El Paso,0.060515200679084606,0.5432608383135152
8043,Colorado,Fremont,0.024520321216207935,0.3789615643964936
8045,Colorado,Garfield,0.02755937424009078,0.5514306557509929
8049,Colorado,Grand,0.031812686899535536,0.5714831074632564
8051,Colorado,Gunnison,0.041376049178389884,0.6454072585411987
8059,Colorado,Jefferson,0.09469729460808701,0.6979396476299944
8067,Colorado,La Plata,0.017973327581868506,0.6505805384808944
8069,Colorado,Larimer,0.026457531484462466,0.6071390774955022
8075,Colorado,Logan,0.2276105536975102,0.3510312151616499
8077,Colorado,Mesa,0.061655844781410764,0.44019704180394725
8083,Colorado,Montezuma,0.04255483771132346,0.5606793299547371
8085,Colorado,Montrose,0.051547599522013175,0.42566601841655144
8087,Colorado,Morgan,0.21641303974442652,0.4140702827110027
8089,Colorado,Otero,0.09630818619582665,0.4202247191011236
8093,Colorado,Park,0.023001725129384705,0.4723404255319149
8097,Colorado,Pitkin,0.011522064754003919,0.7494527019241848
8101,Colorado,Pueblo,0.1284475684161701,0.5002319192207514
8107,Colorado,Routt,0.06846832333158806,0.7084860445446857
8117,Colorado,Summit,0.016100466913540494,0.7620028980840444
8119,Colorado,Teller,0.024281667341157425,0.5079724807770134
8123,Colorado,Weld,0.07325651025439159,0.5237658101835668
9001,Connecticut,Fairfield,0.16732485985759632,0.7130462211424674
9003,Connecticut,Hartford,0.1891054788337495,0.6725495776533132
9005,Connecticut,Litchfield,0.10475953905802814,0.6758124264253237
9007,Connecticut,Middlesex,0.1333373923102682,0.7527352430819811
9009,Connecticut,New Haven,0.16037741303254377,0.6857250226921898
9011,Connecticut,New London,0.07372791420751801,0.7045111802051721
9013,Connecticut,Tolland,0.0640905813549817,0.6135872032472561
9015,Connecticut,Windham,0.03951279011836658,0.5791114776065557
10001,Delaware,Kent,0.07808590549405832,0.4779957217722201
10003,Delaware,New Castle,0.07061268329948714,0.5829804159314829
10005,Delaware,Sussex,0.11416390735451475,0.5905222893444211
12001,Florida,Alachua,0.038783630435094876,0.5793412528549061
12003,Florida,Baker,0.1203156516508015,0.3229059768569305
12005,Florida,Bay,0.10615468906949137,0.45180805405899005
12007,Florida,Bradford,0.0777302759424796,0.38310426456559377
12009,Florida,Brevard,0.07945770937600971,0.5733022096496607
12011,Florida,Broward,0.08984892317582771,0.6387162970106075
12015,Florida,Charlotte,0.11346181635241669,0.6032047611147088
12017,Florida,Citrus,0.1423529182348238,0.5072703990431804
12019,Florida,Clay,0.07606130724644322,0.4437856537377718
